date,tic,close,volume,DBSCAN_Anomaly,OCSVM_Anomaly,IsolationForest_Anomaly,Autoencoder_Anomaly,stat_Anomaly
2016-11-09,QRTEB,11.49535275,0,0,0,0,0,0
2016-11-09,RGCO,12.88815403,450,0,0,0,0,0
2016-11-09,STRS,20.33402061,7600,0,0,0,0,0
2016-11-09,SWKH,9.300000191,0,0,0,0,0,0
2016-11-09,TCI,11.84000015,300,1,1,0,0,0
2016-11-09,VABK,18.38723564,0,0,0,0,0,0
2016-11-09,VALU,14.48322678,0,0,0,0,0,0
2016-11-10,ARL,6.809999943,4700,0,0,0,0,1
2016-11-10,BH,298.5333252,2700,1,1,1,0,0
2016-11-10,CIX,7.671124935,200,0,0,0,0,0
2016-11-10,FDBC,18.03833199,6600,0,0,0,0,0
2016-11-10,GEF,36.17382431,111900,0,0,0,0,0
2016-11-10,NATH,42.38776016,8000,0,0,0,0,0
2016-11-10,NKSH,25.18414688,6700,0,0,0,0,0
2016-11-10,NWFL,14.83219719,450,0,0,0,0,0
2016-11-10,PLBC,10.02257347,10400,0,0,0,0,0
2016-11-10,PNRG,58.0,0,0,0,0,0,0
2016-11-10,QRTEB,10.9493227,700,0,0,0,0,0
2016-11-10,RGCO,12.88815403,1350,0,0,0,0,0
2016-11-10,STRS,19.92297745,37400,0,0,0,0,0
2016-11-10,SWKH,9.300000191,0,0,0,0,0,0
2016-11-10,TCI,11.84000015,0,1,1,0,0,0
2016-11-10,VABK,18.38723564,0,0,0,0,0,0
2016-11-10,VALU,14.46756554,500,0,0,0,0,0
2016-11-14,ARL,6.429999828,200,0,1,0,0,0
2016-11-14,BH,289.2999878,1200,1,1,0,0,0
2016-11-14,CIX,7.532904625,1800,0,1,0,0,0
2016-11-14,FDBC,18.11414528,300,0,0,0,0,0
2016-11-14,GEF,35.63852692,83400,0,0,0,0,0
2016-11-14,NATH,41.86245728,1800,0,0,0,0,0
2016-11-14,NKSH,24.89714813,2600,0,0,0,0,0
2016-11-14,NWFL,14.57021904,150,0,0,0,0,0
2016-11-14,PLBC,9.979557991,400,0,0,0,0,0
2016-11-14,PNRG,58.0,0,0,0,0,0,1
2016-11-14,QRTEB,10.9493227,0,0,0,0,0,0
2016-11-14,RGCO,12.89342213,750,0,1,0,0,0
2016-11-14,STRS,20.25852394,18200,0,0,0,0,0
2016-11-14,SWKH,9.300000191,800,0,1,0,0,0
2016-11-14,TCI,11.81999969,200,0,0,0,0,0
2016-11-14,VABK,18.38723564,0,0,0,0,0,0
2016-11-14,VALU,14.61631489,900,0,0,0,0,0
2016-11-15,ARL,6.730000019,1100,0,0,0,0,0
2016-11-15,BH,288.0400085,1500,1,1,0,0,0
2016-11-15,CIX,7.463798046,300,0,0,0,0,0
2016-11-15,FDBC,18.11414528,0,0,0,0,0,0
2016-11-15,GEF,35.61592102,123700,0,0,0,0,0
2016-11-15,NATH,41.78164291,4600,0,0,0,0,0
2016-11-15,NKSH,24.86127853,6100,0,0,0,0,0
2016-11-15,NWFL,14.72136211,7650,0,0,0,0,0
2016-11-15,PLBC,10.08279228,5300,0,0,0,0,1
2016-11-15,PNRG,58.0,0,0,0,0,0,0
2016-11-15,QRTEB,10.9493227,0,0,0,0,0,1
2016-11-15,RGCO,12.90396404,1650,0,0,0,0,0
2016-11-15,STRS,20.17463684,32900,0,0,0,0,0
2016-11-15,SWKH,9.300000191,0,0,0,0,0,0
2016-11-15,TCI,11.81999969,0,0,0,0,0,0
2016-11-15,VABK,18.38723564,0,0,0,0,0,0
2016-11-15,VALU,14.34769058,1000,0,0,0,0,0
2016-11-16,ARL,6.699999809,700,0,0,0,0,0
2016-11-16,BH,290.0,2700,1,0,0,0,0
2016-11-16,CIX,7.532904625,400,0,0,0,0,0
2016-11-16,FDBC,18.14122009,750,0,0,0,0,0
2016-11-16,GEF,34.84690094,186800,0,0,0,0,0
2016-11-16,NATH,42.71102142,4800,0,0,0,0,0
2016-11-16,NKSH,24.68190002,4300,0,0,0,0,0
2016-11-16,NWFL,14.63571262,2850,0,0,0,0,0
2016-11-16,PLBC,10.71081829,43000,0,0,0,0,0
2016-11-16,PNRG,58.0,0,0,0,0,0,0
2016-11-16,QRTEB,10.9493227,0,0,0,0,0,0
2016-11-16,RGCO,12.88815403,300,0,0,0,0,0
2016-11-16,STRS,20.30046844,35500,0,0,0,0,0
2016-11-16,SWKH,9.300000191,3900,0,0,0,0,0
2016-11-16,TCI,11.81999969,0,0,0,0,0,0
2016-11-16,VABK,18.38723564,0,0,0,0,0,0
2016-11-16,VALU,14.22128391,300,0,0,0,0,0
2016-11-17,ARL,6.699999809,0,0,0,0,0,0
2016-11-17,BH,292.1199951,6150,1,1,0,0,0
2016-11-17,CIX,7.705680847,16100,0,0,0,0,0
2016-11-17,FDBC,18.14122009,0,0,0,0,0,0
2016-11-17,GEF,35.329422,158400,0,0,0,0,0
2016-11-17,NATH,43.07468414,6600,0,0,0,0,0
2016-11-17,NKSH,24.93301773,9300,0,0,0,0,0
2016-11-17,NWFL,14.63067436,1500,0,0,0,0,0
2016-11-17,PLBC,10.71081829,19600,0,0,0,0,0
2016-11-17,PNRG,52.18999863,800,0,0,0,0,0
2016-11-17,QRTEB,11.54708195,200,0,0,0,0,0
2016-11-17,RGCO,12.96192265,3750,0,1,0,0,0
2016-11-17,STRS,20.30046844,7500,0,0,0,0,0
2016-11-17,SWKH,9.199999809,900,0,0,0,0,0
2016-11-17,TCI,11.89999962,1200,0,0,0,0,0
2016-11-17,VABK,18.38723564,0,0,0,0,0,0
2016-11-17,VALU,14.15017319,1500,0,0,0,0,0
2016-11-18,ARL,6.619999886,900,0,0,0,0,0
2016-11-18,BH,284.0,5550,1,1,0,0,0
2016-11-18,CIX,7.864632607,1200,0,1,0,0,0
2016-11-18,FDBC,18.14122009,0,0,0,0,0,0
2016-11-18,GEF,34.7187233,134100,0,0,0,0,0
2016-11-18,NATH,42.02409363,6100,0,0,0,0,0
2016-11-18,NKSH,24.43077278,6300,0,0,0,0,0
2016-11-18,NWFL,14.81204605,2400,0,0,0,0,0
2016-11-18,PLBC,10.40971088,4800,0,0,0,0,0
2016-11-18,PNRG,52.18999863,0,0,0,0,0,0
